Average solve time: 2.930213,,,,,opt homotopy class
cnt,mean,var,,1,17.0431
0,,,,2,
0,,,,3,55.9805
0,,,,4,17.2329
0,,,,5,8.82204
0,,,,6,9.2673
0,,,,7,9.79057
0,,,,8,35.5398
0,,,,9,
0,,,,10,53.6508
0,,,,average,25.91587625
0,,,,stdev,19.81791243
