time,RobotiQ 3-Finger Adaptive Gripper_cmx,RobotiQ 3-Finger Adaptive Gripper_cmy,RobotiQ 3-Finger Adaptive Gripper_cmz,RobotiQ 3-Finger Adaptive Gripper_q[Link 0],RobotiQ 3-Finger Adaptive Gripper_q[Link 1],RobotiQ 3-Finger Adaptive Gripper_q[Link 2],RobotiQ 3-Finger Adaptive Gripper_q[Link 3],RobotiQ 3-Finger Adaptive Gripper_q[Link 4],RobotiQ 3-Finger Adaptive Gripper_q[Link 5],RobotiQ 3-Finger Adaptive Gripper_q[reflex:base],RobotiQ 3-Finger Adaptive Gripper_q[reflex:pad],RobotiQ 3-Finger Adaptive Gripper_q[reflex:swivel_1],RobotiQ 3-Finger Adaptive Gripper_q[reflex:proximal_1],RobotiQ 3-Finger Adaptive Gripper_q[reflex:distal_1],RobotiQ 3-Finger Adaptive Gripper_q[reflex:distal_pad_1],RobotiQ 3-Finger Adaptive Gripper_q[reflex:proximal_pad_1],RobotiQ 3-Finger Adaptive Gripper_q[reflex:swivel_2],RobotiQ 3-Finger Adaptive Gripper_q[reflex:proximal_2],RobotiQ 3-Finger Adaptive Gripper_q[reflex:distal_2],RobotiQ 3-Finger Adaptive Gripper_q[reflex:distal_pad_2],RobotiQ 3-Finger Adaptive Gripper_q[reflex:proximal_pad_2],RobotiQ 3-Finger Adaptive Gripper_q[reflex:proximal_3],RobotiQ 3-Finger Adaptive Gripper_q[reflex:distal_3],RobotiQ 3-Finger Adaptive Gripper_q[reflex:distal_pad_3],RobotiQ 3-Finger Adaptive Gripper_q[reflex:proximal_pad_3],RobotiQ 3-Finger Adaptive Gripper_dq[Link 0],RobotiQ 3-Finger Adaptive Gripper_dq[Link 1],RobotiQ 3-Finger Adaptive Gripper_dq[Link 2],RobotiQ 3-Finger Adaptive Gripper_dq[Link 3],RobotiQ 3-Finger Adaptive Gripper_dq[Link 4],RobotiQ 3-Finger Adaptive Gripper_dq[Link 5],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:base],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:pad],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:swivel_1],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:proximal_1],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:distal_1],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:distal_pad_1],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:proximal_pad_1],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:swivel_2],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:proximal_2],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:distal_2],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:distal_pad_2],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:proximal_pad_2],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:proximal_3],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:distal_3],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:distal_pad_3],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:proximal_pad_3],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],heinz_comx,heinz_comy,heinz_comz,heinz_x,heinz_y,heinz_z,heinz_rx,heinz_ry,heinz_rz,heinz_dx,heinz_dy,heinz_dz,heinz_wx,heinz_wy,heinz_wz,cmd_setpoint1,cmd_setpoint2,cmd_setpoint3,cmd_setpoint4,tendon_length1,tendon_length2,tendon_length3
0.0,-0.00623294382441,0.00126300522016,0.315528677351,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.816400106753,1.7484555337e-07,-0.0,0.0,0.0,-0.816399931908,1.74845554109e-07,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.100000123061,0.316998251544,0.0,0.316998251544,0.0,0.317,0.0,-0.00116717792116,-0.000184965072549,0.0982167422771,-3.31016420871e-11,-3.32603931376e-12,-3.00915656282e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.882744479495,0.882744479495,0.882744479495,0.509735166794,0.0215,0.0215,0.0215
0.01,-0.00622562502362,0.00126148093892,0.315207870825,5.70855190552e-23,-5.95724759866e-10,0.000323534446757,6.28318530699,6.28318530641,1.74969809613e-07,0.0,0.0,0.815124448146,0.00426051974202,1.75366176358e-07,0.0,0.0,-0.815001130104,0.00426250765005,6.28318530706,0.0,0.0,0.00426243593822,1.74850782741e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.53506026149e-06,6.15509757102e-06,-6.74909982672,1.26674641054e-07,1.78172843235e-06,-8.73384272617e-05,-0.191487071078,0.59139480258,-8.76830881791e-07,0.591374923499,5.82076609135e-10,0.591375640618,-8.74253913707e-07,-0.0011598210549,-0.000173849053681,0.0982644706964,3.7301094188e-08,6.06530563238e-08,4.76176072465e-05,-0.00011256007565,7.4524388765e-05,-6.28103009603e-08,0.00052679120563,0.00136405671947,0.00507036177441,-0.0137801831588,0.00534165743738,-8.82685053512e-05,0.872744479495,0.872744479495,0.872744479495,0.499735166794,0.0211592268796,0.0211592268796,0.021159225
0.02,-0.00619861944248,0.00125630728606,0.31465357419,-4.30271029464e-07,-1.60161071103e-09,0.000857861003171,6.28318530679,6.28318530505,1.75057539298e-07,0.0,0.0,0.810298438872,0.0140227225972,1.75776854461e-07,0.0,0.0,-0.809946835041,0.0138806251241,1.75776858624e-07,0.0,0.0,0.0138807275696,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00214086159635,1.20819029986e-05,-9.89058831448,2.48710166046e-07,2.09045018348e-06,-8.73665240974e-05,-0.260037159133,0.810772774028,-8.78884272304e-07,0.812193748759,-8.78884293121e-07,0.812192724304,0.0,-0.00116109708324,-0.000156576032168,0.0983094871044,3.09397654656e-08,1.52399268805e-07,9.26226014107e-05,-0.000287493056276,6.15970433006e-05,1.31019908639e-08,-0.000481005758047,0.0016535561299,0.00435540638864,-0.0167470984161,-0.00487155094743,2.05812830245e-06,0.862744479495,0.862744479495,0.862744479495,0.489735166794,0.0208594615672,0.0208597832587,0.0208597828707
0.03,-0.00615440395836,0.00124727306115,0.314103021561,-6.55651092525e-07,-2.11097087961e-09,0.00134325208056,6.28318530676,6.28318530404,1.75277798081e-07,0.0,0.0,0.802241977061,0.0280156934066,6.28318530532,0.0,0.0,-0.801898896694,0.0276628059698,6.2831853051,0.0,0.0,0.0276632306529,1.74962478908e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032592630259,1.27295401278e-05,-11.3209382364,2.16474753074e-07,3.7843530973e-06,-8.74089901179e-05,-0.308775381192,0.987843065934,9.31304811047e-09,0.991371940302,1.04115960298e-08,0.991367693471,-8.74812394538e-07,-0.00116510805674,-0.000138890012749,0.0983523800969,9.12715589002e-09,2.4916173099e-07,0.000135535729358,-0.000466579415284,2.0981121376e-05,3.66575193667e-08,-0.000185561249964,0.00158382568043,0.0040926062502,-0.0160367637873,-0.00187859951984,3.80980077352e-06,0.852744479495,0.852744479495,0.852744479495,0.479735166794,0.0206183751223,0.0206172914039,0.0206172923851
0.04,-0.00609882768708,0.00123555399108,0.313625052566,-7.72997736922e-07,-2.44975880646e-09,0.00171011916244,6.28318530674,6.2831853022,1.75005721831e-07,0.0,0.0,0.791910465564,0.0453138386262,6.28318530532,0.0,0.0,-0.79167085886,0.0447510925485,6.28318530302,0.0,0.0,0.0447522734655,1.8229428278e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00383993254757,1.28120330488e-05,-11.9225596695,1.85639547404e-07,5.43700156975e-06,-8.72128552432e-05,-0.343332456149,1.13186161374,9.3128083023e-09,1.13748907452,2.08227657339e-08,1.13747726535,-9.114714139e-07,-0.00116591516417,-0.000121178520203,0.0983935371041,3.43059293776e-09,3.53796417165e-07,0.000176680810777,-0.000645845533091,1.28213978135e-05,1.08904583597e-07,0.00042770372238,0.00192999839783,0.00420274538919,-0.0195252690464,0.00432818895206,6.43462044536e-06,0.842744479495,0.842744479495,0.842744479495,0.469735166794,0.0204239851207,0.0204206620915,0.0204206679183
0.05,-0.00603629259724,0.00122191875871,0.313222181048,-8.27014446251e-07,-2.71299481429e-09,0.00196269418423,6.2831853066,6.28318529965,6.28318530695,0.0,0.0,0.780004199351,0.0652539317859,6.28318530302,0.0,0.0,-0.779857039452,0.064505059029,-0.0,0.0,0.0,0.0645073389066,1.82292267059e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00410629142614,1.34508920152e-05,-12.1442542303,2.30722027844e-07,6.49658982292e-06,4.10189137826e-07,-0.367829255165,1.24946068214,2.08135730873e-08,1.25694940971,0.0,1.25692661093,-9.11461335296e-07,-0.0011681712931,-0.000103529091575,0.0984330698848,-1.30470192762e-08,4.69894169866e-07,0.000216218895979,-0.000824359285662,-9.98138676394e-06,-1.24915623415e-07,-0.000853330770042,0.00156934256665,0.00384099432267,-0.0158837195486,-0.00863902736455,1.45257963595e-05,0.832744479495,0.832744479495,0.832744479495,0.459735166794,0.0202659668185,0.0202603722707,0.0202603852058
0.06,-0.00596998685687,0.00120673554719,0.312876535101,-8.28877091401e-07,-2.92607011748e-09,0.00212708401555,6.28318530653,6.2831852984,6.28318530612,0.0,0.0,0.766991074885,0.0873352473033,6.28318529183,0.0,0.0,-0.76690775156,0.0864277218832,1.82518555825e-07,0.0,0.0,0.0864317526473,1.82289209505e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0041127883133,1.37314450116e-05,-12.2123891115,2.6364230686e-07,2.52249717841e-06,8.2145056066e-07,-0.38518852319,1.34564752697,7.67254526579e-08,1.35472278117,-9.12592779123e-07,1.35468247353,-9.11446047525e-07,-0.0011712484993,-8.9530054538e-05,0.0984691753983,-3.14831482685e-08,5.53885790273e-07,0.000252346262096,-0.00096603632194,-4.11244447487e-05,-1.16171375444e-07,0.000146734819282,0.0013355150586,0.00345398485661,-0.0135144889355,0.00148515903857,6.03457056059e-06,0.822744479495,0.822744479495,0.822744479495,0.449735166794,0.0201369724458,0.0201293472012,0.0201293712293
0.07,-0.00590229427254,0.0011901846318,0.312568405943,-8.28877091402e-07,-3.11233290046e-09,0.00223043860851,6.28318530658,6.28318529657,6.28318530621,0.0,0.0,0.753192301596,0.111164364721,6.28318528455,0.0,0.0,-0.753152608871,0.110123384501,1.83163296086e-07,0.0,0.0,0.11012940457,1.74852829105e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00411114918362,1.40818465006e-05,-12.2273482544,2.21681752153e-07,9.43877357922e-06,7.3710243497e-07,-0.397481889699,1.42435635279,1.13130491641e-07,1.43476615499,-9.15816480429e-07,1.4347059543,-8.74264145523e-07,-0.00116823532153,-7.64978685766e-05,0.0985025987029,-1.26300470271e-08,6.34902170017e-07,0.000285721301303,-0.00109790007977,-1.06376731527e-05,-3.76844177462e-08,0.000263753870968,0.00157883600332,0.00341218570247,-0.0159742534161,0.00266632460989,1.93796295207e-05,0.812744479495,0.812744479495,0.812744479495,0.439735166794,0.0200314775367,0.0200221175418,0.0200221584697
0.08,-0.00583494658969,0.00117239830606,0.312282359265,-8.28877091402e-07,-3.28771995165e-09,0.00229421566418,6.28318530659,6.28318529447,6.28318530586,0.0,0.0,0.738834615554,0.136424120272,6.28318529186,0.0,0.0,-0.738826394081,0.135270844902,2.3290024842e-07,0.0,0.0,0.135279249157,6.28318530717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00411097037273,1.48501221622e-05,-12.2277589786,2.24103146878e-07,9.3879211128e-06,9.9264674667e-07,-0.406178411112,1.48875879728,7.66205943137e-08,1.50029155098,-1.1645012421e-06,1.50020750843,7.27595761418e-11,-0.00116336531937,-6.12029980402e-05,0.0985351651907,1.93405460451e-08,7.33621298822e-07,0.000318219240054,-0.00125262138657,3.86208657509e-05,7.33039489706e-08,0.000667129235808,0.00162962754257,0.00324554136023,-0.0164807587862,0.00674784323201,8.17547788756e-06,0.802744479495,0.802744479495,0.802744479495,0.429735166794,0.0199451500211,0.0199343311988,0.0199343941525
0.09,-0.00576923765791,0.0011534882591,0.312008008938,-8.28877091398e-07,-3.44609774025e-09,0.00233346537561,6.28318530662,6.28318529234,6.28318530565,0.0,0.0,0.724079724158,0.162855546678,6.28318527397,0.0,0.0,-0.724094986916,0.161607485021,-0.0,0.0,0.0,0.16161863109,1.74860105062e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00411088096821,1.51460739922e-05,-12.2297486456,1.95041754165e-07,9.485669367e-06,1.12802350555e-06,-0.412320827202,1.54144453322,1.66045808214e-07,1.55392514979,0.0,1.5538136891,-8.74300525311e-07,-0.00115723954514,-4.71271159768e-05,0.0985678806901,6.12095678316e-08,8.37690329079e-07,0.000350853690608,-0.00139487672236,0.000100564349077,1.74383468034e-07,9.88295141724e-06,0.00110333529301,0.00298296147957,-0.0111597049981,9.96637172648e-05,2.79373216472e-06,0.792744479495,0.792744479495,0.792744479495,0.419735166794,0.01987451335,0.0198624667707,0.0198625556748
